2018-04-09 09:46:58, 243.91;240.54;248.22;236.49;247.58;249.60;241.73;248.39
2018-04-09 09:46:59, 243.74;256.05;239.56;245.23;248.34;244.16;244.12;254.82
2018-04-09 09:47:00, 243.66;253.77;240.70;252.41;239.43;251.56;252.86;240.52
2018-04-09 09:47:01, 247.39;247.18;243.89;244.26;250.50;248.47;249.12;241.93
2018-04-09 09:47:02, 251.93;240.46;251.54;268.14;245.10;265.16;248.28;242.79
2018-04-09 09:47:03, 238.40;242.65;250.53;239.81;245.84;251.46;238.07;240.43
2018-04-09 09:47:04, 244.54;247.03;237.61;247.34;241.16;245.64;242.50;249.32
2018-04-09 09:47:05, 245.46;248.62;238.19;242.12;237.71;250.41;242.29;249.25
2018-04-09 09:47:06, 245.34;243.62;249.66;247.46;256.29;250.63;241.26;245.85
2018-04-09 09:47:08, 245.94;238.32;249.84;257.00;252.20;259.51;247.43;272.26
2018-04-09 09:47:09, 265.10;253.38;251.04;256.96;260.30;247.63;243.54;250.79
2018-04-09 09:47:10, 254.59;250.28;251.44;242.26;257.61;266.46;243.32;245.95
2018-04-09 09:47:11, 242.24;256.92;241.51;248.88;241.62;240.67;248.46;246.67
2018-04-09 09:47:12, 243.60;240.78;254.29;241.31;247.87;245.80;247.98;248.90
2018-04-09 09:47:13, 253.28;248.20;245.49;249.13;242.64;249.42;239.23;253.37
2018-04-09 09:47:14, 238.89;246.01;242.52;250.79;235.63;249.70;239.31;247.17
2018-04-09 09:47:15, 237.80;240.69;240.88;277.42;256.25;239.45;240.05;237.64
2018-04-09 09:47:17, 249.81;244.90;247.25;242.89;246.61;244.51;248.79;248.26
2018-04-09 09:47:18, 288.47;256.75;265.29;262.82;252.59;247.42;237.15;244.30
2018-04-09 09:47:19, 245.27;251.64;244.45;245.01;239.20;248.76;243.52;255.40
2018-04-09 09:47:20, 244.56;253.43;245.33;236.38;245.03;244.11;243.78;243.30
2018-04-09 09:47:21, 244.30;253.30;254.13;257.93;252.89;247.64;252.86;259.66
2018-04-09 09:47:22, 256.50;242.25;251.81;243.31;248.72;252.03;245.20;243.99
2018-04-09 09:47:23, 244.74;244.71;258.17;247.64;247.13;253.97;243.07;252.19
2018-04-09 09:47:24, 255.26;275.14;292.97;256.20;232.99;241.94;239.47;236.32
2018-04-09 09:47:25, 239.04;239.87;245.86;248.42;237.60;236.26;244.61;240.04
2018-04-09 09:47:27, 242.47;239.94;245.76;243.44;248.83;241.94;236.68;243.74
2018-04-09 09:47:28, 238.34;240.20;244.15;241.92;250.33;248.91;250.33;250.00
2018-04-09 09:47:29, 240.61;239.70;241.55;244.04;241.58;242.28;241.08;245.31
2018-04-09 09:47:30, 239.30;243.44;238.60;249.64;233.94;246.82;242.25;245.13
2018-04-09 09:47:31, 237.51;245.59;244.19;237.07;254.78;245.97;247.29;234.21
2018-04-09 09:47:32, 235.69;242.37;244.76;244.65;250.56;238.26;246.96;234.25
2018-04-09 09:47:33, 237.68;251.53;245.29;241.26;249.10;243.69;248.62;246.60
2018-04-09 09:47:34, 247.89;241.58;237.01;238.84;247.09;248.64;233.67;248.50
2018-04-09 09:47:36, 248.88;243.22;253.37;240.04;240.16;236.67;239.64;235.35
2018-04-09 09:47:37, 245.66;249.32;243.67;242.20;240.52;250.90;251.70;238.44
2018-04-09 09:47:38, 239.69;244.72;244.24;237.65;253.43;257.82;246.17;241.14
2018-04-09 09:47:39, 244.06;250.80;248.21;235.64;245.69;255.22;248.61;257.01
2018-04-09 09:47:40, 244.47;247.30;248.79;251.11;243.19;241.31;244.56;241.99
2018-04-09 09:47:41, 241.24;238.13;248.18;247.68;251.22;248.13;243.95;255.11
2018-04-09 09:47:42, 243.29;261.12;249.17;239.97;250.14;234.45;246.67;244.19
2018-04-09 09:47:43, 253.60;252.60;242.37;253.17;248.03;247.19;244.72;247.71
2018-04-09 09:47:45, 247.30;240.68;240.72;240.88;244.73;235.25;239.49;240.05
2018-04-09 09:47:46, 245.16;245.65;236.67;239.78;243.53;244.52;238.93;240.16
2018-04-09 09:47:47, 239.51;245.46;233.37;241.77;239.46;240.40;247.70;244.88
